Mitocheck_Phenotypic_Class	frame_details
Shape3	PLLT0027_44--ex2005_06_03--sp2005_04_27--tt17--c5___P00030_01___T00094___X0989___Y0426
Shape3	PLLT0027_44--ex2005_06_03--sp2005_04_27--tt17--c5___P00030_01___T00094___X0735___Y0692
Shape3	PLLT0027_44--ex2005_06_03--sp2005_04_27--tt17--c5___P00030_01___T00094___X0932___Y0292
Shape3	PLLT0027_44--ex2005_06_03--sp2005_04_27--tt17--c5___P00030_01___T00094___X0254___Y0431
Shape3	PLLT0027_44--ex2005_06_03--sp2005_04_27--tt17--c5___P00030_01___T00094___X0089___Y0955
Shape3	PLLT0027_44--ex2005_06_03--sp2005_04_27--tt17--c5___P00030_01___T00094___X1062___Y0399
Shape3	PLLT0027_44--ex2005_06_03--sp2005_04_27--tt17--c5___P00030_01___T00094___X0863___Y0172
Shape3	PLLT0027_44--ex2005_06_03--sp2005_04_27--tt17--c5___P00030_01___T00094___X0825___Y0437
Shape3	PLLT0027_44--ex2005_06_03--sp2005_04_27--tt17--c5___P00030_01___T00094___X0755___Y0178
Shape3	PLLT0027_44--ex2005_06_03--sp2005_04_27--tt17--c5___P00030_01___T00094___X0696___Y0601
Shape3	PLLT0027_44--ex2005_06_03--sp2005_04_27--tt17--c5___P00030_01___T00094___X0247___Y0237
Shape3	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00054___X0676___Y0259
Shape3	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00054___X0805___Y0230
Shape3	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00065___X0815___Y0282
Shape3	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00065___X0670___Y0251
Shape3	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00065___X0712___Y0139
Shape3	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00065___X0914___Y0040
Shape3	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00090___X0323___Y0089
Shape3	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00090___X1224___Y0157
Shape3	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00090___X1044___Y0328
Shape3	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00090___X0815___Y0295
Shape3	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00090___X0637___Y0218
Shape3	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00090___X0277___Y0257
Shape3	PLLT0038_08--ex2005_06_15--sp2005_05_10--tt17--c5___P00250_01___T00053___X1222___Y0898
Shape3	PLLT0038_08--ex2005_06_15--sp2005_05_10--tt17--c5___P00250_01___T00079___X0774___Y0326
Shape3	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00025___X1126___Y0558
Shape3	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00025___X0844___Y0670
Shape3	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00025___X1113___Y0637
Shape3	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00025___X0888___Y0632
Shape3	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00025___X1028___Y0153
Shape3	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00025___X1079___Y0555
Shape3	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00025___X1128___Y0685
Shape3	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00031___X0804___Y0659
Shape3	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00031___X0887___Y0636
Shape3	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00035___X0230___Y0448
Shape3	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00087___X0262___Y0850
Shape3	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00087___X0260___Y0951
Shape3	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00087___X0224___Y0890
Shape3	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00087___X0212___Y0106
Shape3	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00087___X0229___Y0428
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00035___X0623___Y0728
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00043___X0055___Y0746
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00043___X0141___Y0409
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00046___X0132___Y0432
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00046___X0276___Y0266
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00054___X0656___Y0255
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00054___X0453___Y0342
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00054___X0438___Y0375
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00054___X0471___Y0610
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00055___X0288___Y0310
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00055___X0438___Y0374
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00055___X0454___Y0342
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00055___X0228___Y0292
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00055___X0338___Y0921
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00056___X0286___Y0308
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00056___X0920___Y0321
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00063___X0307___Y0858
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00070___X0069___Y0677
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00070___X0065___Y0105
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00070___X0287___Y0276
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00070___X0454___Y0414
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00070___X0305___Y0858
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00070___X0467___Y0604
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00073___X0460___Y0420
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00073___X0473___Y0337
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00073___X0355___Y0079
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00078___X0293___Y0269
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00078___X0475___Y0338
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00078___X0469___Y0602
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00078___X0795___Y0743
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00078___X0071___Y0678
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00078___X0454___Y0422
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00083___X0472___Y0604
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00083___X0061___Y0107
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00083___X0299___Y0272
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00083___X0482___Y0341
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00083___X0364___Y0073
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00083___X0456___Y0422
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00083___X0793___Y0745
Shape3	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00083___X0072___Y0680
Shape3	PLLT0044_36--ex2005_07_06--sp2005_05_19--tt19--c3___P00249_01___T00045___X0146___Y0247
Shape3	PLLT0046_19--ex2005_06_08--sp2005_01_01--tt17--c4___P00356_01___T00056___X0108___Y0903
Shape3	PLLT0046_19--ex2005_06_08--sp2005_01_01--tt17--c4___P00356_01___T00056___X0284___Y0282
Shape3	PLLT0046_19--ex2005_06_08--sp2005_01_01--tt17--c4___P00356_01___T00066___X0284___Y0289
Shape3	PLLT0046_19--ex2005_06_08--sp2005_01_01--tt17--c4___P00356_01___T00091___X0621___Y0240
Shape3	PLLT0046_19--ex2005_06_08--sp2005_01_01--tt17--c4___P00356_01___T00091___X0729___Y0204
Shape3	PLLT0046_19--ex2005_06_08--sp2005_01_01--tt17--c4___P00356_01___T00091___X0485___Y0196
Shape3	PLLT0046_19--ex2005_06_08--sp2005_01_01--tt17--c4___P00356_01___T00091___X0281___Y0294
Shape3	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00067___X0230___Y0326
Shape3	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00067___X0811___Y0895
Shape3	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X0228___Y0337
Shape3	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X0482___Y0786
Shape3	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00083___X0472___Y0215
Shape3	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00083___X0132___Y0794
Shape3	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00071___X0993___Y0104
Shape3	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00071___X0764___Y0151
Shape3	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00071___X0954___Y0130
Shape3	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00071___X0347___Y0642
Shape3	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00071___X0983___Y0139
Shape3	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00048___X0784___Y0480
Shape3	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00056___X0985___Y0371
Shape3	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00056___X0787___Y0473
Shape3	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00071___X0800___Y0467
Shape3	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00071___X0153___Y0486
Shape3	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00071___X0860___Y0190
Shape3	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00071___X0819___Y0371
Shape3	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00071___X0766___Y0502
Shape3	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00091___X1017___Y0824
Shape3	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00091___X0892___Y0123
Shape3	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00091___X0765___Y0494
Shape3	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00091___X0181___Y0492
Shape3	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00091___X0850___Y0452
Shape3	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00091___X0826___Y0348
Shape3	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00091___X0985___Y0358
Shape3	PLLT0065_06--ex2005_07_13--sp2005_06_07--tt173--c4___P00054_01___T00092___X0150___Y0267
Shape3	PLLT0065_06--ex2005_07_13--sp2005_06_07--tt173--c4___P00054_01___T00092___X0777___Y0973
Shape3	PLLT0065_06--ex2005_07_13--sp2005_06_07--tt173--c4___P00054_01___T00092___X1002___Y0157
Shape3	PLLT0065_06--ex2005_07_13--sp2005_06_07--tt173--c4___P00054_01___T00092___X0618___Y0445
Shape3	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00074___X0473___Y0912
Shape3	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00092___X0621___Y0556
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00036___X0491___Y0804
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00076___X1215___Y0167
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00076___X1147___Y0405
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00076___X1129___Y0822
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00076___X0364___Y0099
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00076___X0253___Y0116
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00076___X0347___Y0225
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00076___X0802___Y0700
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00076___X0604___Y0686
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00076___X0775___Y0424
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00076___X0506___Y0814
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00091___X0743___Y0708
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00091___X1270___Y0128
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00091___X0366___Y0095
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00091___X0602___Y0690
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00091___X1155___Y0416
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00091___X1211___Y0207
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00091___X1155___Y0054
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00091___X0780___Y0757
Shape3	PLLT0067_02--ex2006_06_30--sp2005_06_28--tt18--c3___P00099_01___T00091___X0265___Y0114
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00045___X0213___Y0086
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00045___X0159___Y0544
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00045___X0346___Y0397
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00045___X0154___Y0151
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00045___X0982___Y0454
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00045___X0539___Y0697
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00055___X0164___Y0552
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00055___X0783___Y0770
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00055___X0551___Y0705
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00055___X0396___Y0024
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00055___X0658___Y0828
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00055___X1015___Y0858
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00055___X0221___Y0118
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00055___X0099___Y0390
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X0659___Y0686
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X0794___Y0633
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X1043___Y0538
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X0944___Y0466
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X0380___Y0030
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X0648___Y0877
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X0450___Y0663
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X0380___Y0135
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X0217___Y0138
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X0112___Y0355
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X0561___Y0705
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X0166___Y0563
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X0151___Y0247
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X0183___Y0320
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X0924___Y0344
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00090___X0313___Y0140
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00090___X1181___Y0658
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00090___X0379___Y0137
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00090___X0918___Y0349
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00090___X1053___Y0534
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00090___X1006___Y0354
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00090___X1256___Y0580
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00090___X0199___Y0306
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00090___X0160___Y0144
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00090___X0450___Y0664
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00090___X0095___Y0372
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00090___X0789___Y0639
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00090___X0659___Y0702
Shape3	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00090___X0891___Y0856
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00038___X0340___Y0039
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00038___X0128___Y0291
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00038___X0412___Y0589
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00038___X0034___Y0297
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00038___X1133___Y0894
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00038___X1121___Y0604
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00043___X1122___Y0601
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00043___X1312___Y0701
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00043___X0339___Y0034
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00043___X0401___Y0585
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00043___X1010___Y0742
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00043___X0726___Y0233
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00043___X0871___Y0633
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00043___X1203___Y0297
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00043___X1119___Y0897
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00059___X0335___Y0039
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00059___X0885___Y0351
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00059___X0390___Y0571
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00059___X1174___Y0914
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00059___X0772___Y0880
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00070___X0273___Y0398
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00070___X1019___Y0755
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00070___X0763___Y0875
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00070___X0336___Y0042
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00070___X0393___Y0574
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00092___X0164___Y0438
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00092___X1209___Y0303
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00092___X0358___Y0053
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00092___X0892___Y0355
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00092___X0320___Y0049
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00092___X0276___Y0399
Shape3	PLLT0089_01--ex2005_08_31--sp2005_08_18--tt17--c4___P00175_01___T00092___X1027___Y0766
Shape3	PLLT0093_13--ex2005_08_26--sp2005_08_02--tt17--c4___P00147_01___T00068___X0290___Y0228
Shape3	PLLT0093_13--ex2005_08_26--sp2005_08_02--tt17--c4___P00147_01___T00068___X0050___Y0801
Shape3	PLLT0093_13--ex2005_08_26--sp2005_08_02--tt17--c4___P00147_01___T00068___X0070___Y0850
Shape3	PLLT0093_13--ex2005_08_26--sp2005_08_02--tt17--c4___P00147_01___T00068___X0119___Y0246
Shape3	PLLT0093_13--ex2005_08_26--sp2005_08_02--tt17--c4___P00147_01___T00068___X0387___Y0862
Shape3	PLLT0093_17--ex2005_08_17--sp2005_08_02--tt17--c5___P00114_01___T00087___X0794___Y0750
Shape3	PLLT0093_17--ex2005_08_17--sp2005_08_02--tt17--c5___P00114_01___T00087___X0747___Y0391
Shape3	PLLT0093_17--ex2005_08_17--sp2005_08_02--tt17--c5___P00114_01___T00087___X0603___Y0696
Shape3	PLLT0093_17--ex2005_08_17--sp2005_08_02--tt17--c5___P00114_01___T00087___X0137___Y0718
Shape3	PLLT0094_04--ex2006_08_09--sp2005_08_03--tt17--c4___P00319_01___T00060___X1104___Y0928
Shape3	PLLT0094_04--ex2006_08_09--sp2005_08_03--tt17--c4___P00319_01___T00065___X0900___Y0416
Shape3	PLLT0094_04--ex2006_08_09--sp2005_08_03--tt17--c4___P00319_01___T00065___X1088___Y0939
Shape3	PLLT0094_04--ex2006_08_09--sp2005_08_03--tt17--c4___P00319_01___T00092___X0896___Y0420
Shape3	PLLT0094_04--ex2006_08_09--sp2005_08_03--tt17--c4___P00319_01___T00092___X0961___Y0468
Shape3	PLLT0098_13--ex2005_09_07--sp2005_08_09--tt17--c4___P00021_01___T00020___X0224___Y0050
Shape3	PLLT0098_13--ex2005_09_07--sp2005_08_09--tt17--c4___P00021_01___T00026___X0551___Y0264
Shape3	PLLT0098_13--ex2005_09_07--sp2005_08_09--tt17--c4___P00021_01___T00026___X0511___Y0268
Shape3	PLLT0098_13--ex2005_09_07--sp2005_08_09--tt17--c4___P00021_01___T00026___X1248___Y0603
Shape3	PLLT0098_13--ex2005_09_07--sp2005_08_09--tt17--c4___P00021_01___T00026___X0627___Y0377
Shape3	PLLT0098_13--ex2005_09_07--sp2005_08_09--tt17--c4___P00021_01___T00032___X0672___Y0331
Shape3	PLLT0098_13--ex2005_09_07--sp2005_08_09--tt17--c4___P00021_01___T00032___X0556___Y0267
Shape3	PLLT0098_13--ex2005_09_07--sp2005_08_09--tt17--c4___P00021_01___T00032___X0630___Y0379
Shape3	PLLT0098_13--ex2005_09_07--sp2005_08_09--tt17--c4___P00021_01___T00032___X0516___Y0271
Shape3	PLLT0098_13--ex2005_09_07--sp2005_08_09--tt17--c4___P00021_01___T00032___X0981___Y0603
Shape3	PLLT0098_13--ex2005_09_07--sp2005_08_09--tt17--c4___P00021_01___T00076___X0379___Y0655
Shape3	PLLT0098_13--ex2005_09_07--sp2005_08_09--tt17--c4___P00021_01___T00076___X0432___Y0513
